PatientID,RMSE_total,MSE_total,MAE_total,MAPE_total
Subject 1,25.58269659817696,654.474365234375,20.742523193359375,0.1662777215242386
Subject 10,28.015456157118095,784.8657836914062,20.168752670288086,0.1741575002670288
Subject 11,32.83076128752957,1077.85888671875,26.11985969543457,0.18896834552288055
Subject 12,26.1360669217965,683.093994140625,18.947084426879883,0.1498129963874817
Subject 13,17.741266385435523,314.7525329589844,13.550141334533691,0.10142677277326584
Subject 14,27.78185965831335,771.8317260742188,20.14808464050293,0.16423077881336212
Subject 15,22.425565217889087,502.9059753417969,16.728761672973633,0.14957258105278015
Subject 16,26.62638457374095,708.96435546875,20.71053123474121,0.14970824122428894
Subject 17,37.28214714972503,1389.95849609375,26.41438102722168,0.1615048199892044
Subject 18,33.96875179680308,1153.8760986328125,26.585533142089844,0.1875912994146347
Subject 19,22.129240330112793,489.7032775878906,16.535547256469727,0.12786176800727844
Subject 2,36.991533290149654,1368.37353515625,27.877609252929688,0.20618486404418945
Subject 20,27.46009733778781,754.0569458007812,21.157291412353516,0.17857499420642853
Subject 21,36.059558345144424,1300.291748046875,27.19706916809082,0.1889319270849228
Subject 22,29.27883298622328,857.2500610351562,22.165054321289062,0.1778743416070938
Subject 23,31.94805506844274,1020.67822265625,24.44317626953125,0.1997392326593399
Subject 24,38.383867562590666,1473.3212890625,30.947843551635742,0.24619704484939575
Subject 25,36.261755569638204,1314.9149169921875,27.96753692626953,0.1923971176147461
Subject 3,25.59166205043952,654.9331665039062,18.408174514770508,0.16237635910511017
Subject 4,30.047732209561172,902.8662109375,23.73625373840332,0.15363460779190063
Subject 5,24.015833400201835,576.76025390625,18.00243377685547,0.15462160110473633
Subject 6,23.269734200999295,541.4805297851562,17.825498580932617,0.1266513168811798
Subject 7,26.74293952528639,715.184814453125,18.966882705688477,0.14027096331119537
Subject 8,47.034621453078316,2212.255615234375,38.63066482543945,0.28217604756355286
Subject 9,39.26636023237241,1541.8470458984375,32.94877624511719,0.208191379904747
