PatientID,RMSE_total,MSE_total,MAE_total,MAPE_total
Subject 1,38.707953498764304,1498.3056640625,33.70008850097656,0.2218468189239502
Subject 10,31.21391177943288,974.3082885742188,23.36993980407715,0.1686181277036667
Subject 11,37.256083356551486,1388.0157470703125,29.83249855041504,0.18142004311084747
Subject 12,32.090096478387025,1029.7742919921875,26.35789680480957,0.18746773898601532
Subject 13,25.901211201394013,670.8727416992188,20.328340530395508,0.13435415923595428
Subject 14,34.42505411159055,1185.0843505859375,27.538419723510742,0.2137363702058792
Subject 15,33.03512830531217,1091.3197021484375,22.368667602539062,0.15957242250442505
Subject 16,31.89625421134657,1017.3710327148438,24.96381950378418,0.15324406325817108
Subject 17,56.83705164285992,3230.450439453125,48.07600402832031,0.26736655831336975
Subject 18,42.863728189880284,1837.2991943359375,30.971771240234375,0.17667299509048462
Subject 19,30.204184902833106,912.2927856445312,23.68415641784668,0.16316203773021698
Subject 2,34.37054658652158,1181.33447265625,26.236894607543945,0.1630430668592453
Subject 20,31.467377739754646,990.1958618164062,25.214637756347656,0.17471693456172943
Subject 21,38.73907356032795,1500.7158203125,29.214487075805664,0.1825079321861267
Subject 22,36.77501672968688,1352.40185546875,30.090559005737305,0.19760967791080475
Subject 23,27.74634974760475,769.8599243164062,21.180967330932617,0.16028021275997162
Subject 24,31.15630779050558,970.7155151367188,23.81644630432129,0.1609814167022705
Subject 25,36.23191055924925,1312.7513427734375,26.56963348388672,0.1711769551038742
Subject 3,337.5541623206563,113942.8125,81.02734375,0.8225424289703369
Subject 4,40.21936765017182,1617.5975341796875,32.17118835449219,0.17472971975803375
Subject 5,32.950517025771006,1085.736572265625,26.758222579956055,0.1959819346666336
Subject 6,33.917425073740674,1150.3917236328125,26.236358642578125,0.16313211619853973
Subject 7,34.34617043904786,1179.659423828125,26.326780319213867,0.1722007393836975
Subject 8,34.137233455683145,1165.3507080078125,25.434690475463867,0.14936304092407227
Subject 9,63.22933055305504,3997.9482421875,54.85483169555664,0.26411160826683044
